,playerID,year,tmID,lgID,pos,GP,G,A,Pts,PIM,+/-,PPG,SHG,PostGP,PostG,PostA,PostPts,PostPIM,PostPPG,PostSHG,HOF,name
15419,halleke01,2001,NYI,NHL,D,1.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kevin Haller
15438,hallima01,1982,NYI,NHL,L,30.0,7.0,7.0,14.0,26.0,4.0,0.0,0.0,7.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,Mats Hallin
15439,hallima01,1983,NYI,NHL,L,40.0,2.0,5.0,7.0,27.0,-2.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,Mats Hallin
15440,hallima01,1984,NYI,NHL,L,38.0,5.0,0.0,5.0,50.0,-7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mats Hallin
15573,hamilje01,2003,NYI,NHL,C,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jeff Hamilton
15574,hamilje01,2005,NYI,NHL,C,13.0,2.0,6.0,8.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jeff Hamilton
15634,hamontr01,2010,NYI,NHL,D,62.0,5.0,21.0,26.0,103.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Travis Hamonic
15635,hamontr01,2011,NYI,NHL,D,73.0,2.0,22.0,24.0,73.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Travis Hamonic
15671,hamrlro01,2000,NYI,NHL,D,76.0,16.0,30.0,46.0,92.0,-20.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Roman Hamrlik
15672,hamrlro01,2001,NYI,NHL,D,70.0,11.0,26.0,37.0,78.0,7.0,4.0,1.0,7.0,1.0,6.0,7.0,6.0,0.0,0.0,0.0,Roman Hamrlik
15673,hamrlro01,2002,NYI,NHL,D,73.0,9.0,32.0,41.0,87.0,21.0,3.0,0.0,5.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,Roman Hamrlik
